,Left Hand Side,Right Hand Side,Support,Confidence,Lift
4,拉麵,韓式料理,0.011128775834658187,0.35,5.241666666666666
16,銅盤烤肉,韓式料理,0.02702702702702703,0.3035714285714286,4.546343537414966
15,肉,銅盤烤肉,0.03179650238473768,0.3389830508474576,3.8075060532687655
2,拉麵,牛排,0.012718600953895072,0.4000000000000001,3.646376811594204
10,泰式料理,韓式料理,0.014308426073131956,0.2368421052631579,3.5469924812030076
6,泰式料理,港式粵式,0.01589825119236884,0.2631578947368421,3.4484649122807016
3,拉麵,銅盤烤肉,0.009538950715421303,0.3,3.3696428571428574
8,泰式料理,肉,0.019077901430842606,0.3157894736842105,3.3666369313113287
7,泰式料理,牛排,0.022257551669316374,0.3684210526315789,3.358504958047292
0,拉麵,泰式料理,0.006359300476947536,0.20000000000000004,3.310526315789474
1,拉麵,港式粵式,0.00794912559618442,0.25,3.276041666666667
11,港式粵式,銅盤烤肉,0.022257551669316374,0.2916666666666667,3.276041666666667
5,泰式料理,海鮮料理,0.02384737678855326,0.39473684210526316,3.26696675900277
9,泰式料理,銅盤烤肉,0.017488076311605722,0.28947368421052627,3.25140977443609
12,火鍋,韓式料理,0.033386327503974564,0.21649484536082475,3.2422680412371134
13,燒肉,韓式料理,0.017488076311605722,0.2037037037037037,3.0507054673721337
14,牛排,韓式料理,0.022257551669316374,0.20289855072463767,3.038647342995169
